success,status,gemarkung,flur,a_datum,a_datum_dmy,quartal,gemeinde,ogc_fid,type
False,false,,,,,,,,
true,true,Elbmündung,013026001,2023-11-06,06.11.2023,11_2023,- frei -,1,alkis
true,true,Elbmündung,013026002,2023-11-06,06.11.2023,11_2023,- frei -,2,alkis
true,true,Elbmündung,013026008,2023-11-06,06.11.2023,11_2023,- frei -,3,alkis
true,true,Elbmündung,013026009,2023-11-06,06.11.2023,11_2023,- frei -,4,alkis
true,true,Elbmündung,013026003,2023-11-06,06.11.2023,11_2023,- frei -,5,alkis
true,true,Elbmündung,013026004,2023-11-06,06.11.2023,11_2023,- frei -,6,alkis
true,true,Elbmündung,013026007,2023-11-06,06.11.2023,11_2023,- frei -,7,alkis
true,true,Tönning,011623039,2023-11-06,06.11.2023,11_2023,Tönning,8,alkis
true,true,Elbmündung,013026006,2023-11-06,06.11.2023,11_2023,- frei -,9,alkis
true,true,Nordstrand,011556019,2023-11-06,06.11.2023,11_2023,Nordstrand,10,alkis
true,true,Ziethen,017290001,2023-11-06,06.11.2023,11_2023,Ziethen,11,alkis
true,true,Lammershagen,016096001,2023-11-06,06.11.2023,11_2023,Lammershagen,12,alkis
true,true,Curau,010516000,2023-11-06,06.11.2023,11_2023,Stockelsdorf,13,alkis
true,true,Geesthacht,017060000,2023-11-06,06.11.2023,11_2023,Geesthacht,14,alkis
true,true,Ratekau,010581000,2023-11-06,06.11.2023,11_2023,Ratekau,15,alkis
true,true,Elpersbüttel,013027014,2023-11-06,06.11.2023,11_2023,Elpersbüttel,16,alkis
true,true,Groß Steinrade,013513000,2023-11-06,06.11.2023,11_2023,"Lübeck, Hansestadt",17,alkis
true,true,Flensburger Förde,011191007,2023-11-06,06.11.2023,11_2023,Westerholz,18,alkis
true,true,Kollow,017146001,2023-11-06,06.11.2023,11_2023,Kollow,19,alkis
true,true,Luschendorf,010560000,2023-11-06,06.11.2023,11_2023,Ratekau,20,alkis
true,true,Gronenberg,010533000,2023-11-06,06.11.2023,11_2023,Scharbeutz,21,alkis
true,true,Elbmündung,013026010,2023-11-06,06.11.2023,11_2023,- frei -,22,alkis
true,true,Dissau,010518000,2023-11-06,06.11.2023,11_2023,Stockelsdorf,23,alkis
true,true,Flensburg-H,011247052,2023-11-06,06.11.2023,11_2023,"Flensburg, Stadt",24,alkis
true,true,Hattstedtermarsch,011527025,2023-11-06,06.11.2023,11_2023,Hattstedtermarsch,25,alkis
true,true,Neuhaus-Giekau,016121014,2023-11-06,06.11.2023,11_2023,Giekau,26,alkis
true,true,Alt Horst,017003001,2023-11-06,06.11.2023,11_2023,Horst,27,alkis
true,true,Großhansdorf,015037001,2023-11-06,06.11.2023,11_2023,Großhansdorf,28,alkis
true,true,Mannhagen,017173001,2023-11-06,06.11.2023,11_2023,Panten,29,alkis
true,true,Glückstadt,012034006,2023-11-06,06.11.2023,11_2023,Glückstadt,30,alkis
true,true,Schürsdorf,010589000,2023-11-06,06.11.2023,11_2023,Scharbeutz,31,alkis
true,true,Karolinenkoog,013332011,2023-11-06,06.11.2023,11_2023,Karolinenkoog,32,alkis
true,true,Sarkwitz,010586000,2023-11-06,06.11.2023,11_2023,Scharbeutz,33,alkis
true,true,Trave und Dassower See,013534002,2023-11-06,06.11.2023,11_2023,"Lübeck, Hansestadt",34,alkis
true,true,Groß Parin,010534000,2023-11-06,06.11.2023,11_2023,Bad Schwartau,35,alkis
true,true,Plöner See,016130003,2023-11-06,06.11.2023,11_2023,Plön,36,alkis
true,true,Panten,017202001,2023-11-06,06.11.2023,11_2023,Panten,37,alkis
true,true,Arfrade,010503000,2023-11-06,06.11.2023,11_2023,Stockelsdorf,38,alkis
true,true,Gleschendorf,010527000,2023-11-06,06.11.2023,11_2023,Scharbeutz,39,alkis
true,true,Plöner See,016128001,2023-11-06,06.11.2023,11_2023,Ascheberg (Holstein),40,alkis
true,true,Lütjenwestedt,010261003,2023-11-06,06.11.2023,11_2023,Tackesdorf,41,alkis
true,true,Jörl,011066001,2023-11-06,06.11.2023,11_2023,Jörl,42,alkis
true,true,Handewitt,011047009,2023-11-06,06.11.2023,11_2023,Handewitt,43,alkis
true,true,Nordermeldorf,013455001,2023-11-06,06.11.2023,11_2023,Nordermeldorf,44,alkis
true,true,Südermarsch,011586005,2023-11-06,06.11.2023,11_2023,Südermarsch,45,alkis
true,true,Rensefeld,010582000,2023-11-06,06.11.2023,11_2023,Bad Schwartau,46,alkis
true,true,Pansdorf,010577000,2023-11-06,06.11.2023,11_2023,Ratekau,47,alkis
true,true,Rodenäs,015551012,2023-11-06,06.11.2023,11_2023,Rodenäs,48,alkis
true,true,Trave und Dassower See,013534003,2023-11-06,06.11.2023,11_2023,"Lübeck, Hansestadt",49,alkis
true,true,Gothendorf,010529000,2023-11-06,06.11.2023,11_2023,Süsel,50,alkis
true,true,Glashütte,019031004,2023-11-06,06.11.2023,11_2023,"Buchholz, Forstgutsbezirk",51,alkis
true,true,Wittensee (See),010456002,2023-11-06,06.11.2023,11_2023,Groß Wittensee,52,alkis
true,true,Ratzeburg,017209017,2023-11-06,06.11.2023,11_2023,Ratzeburg,53,alkis
true,true,Nordstrand,011556002,2023-11-06,06.11.2023,11_2023,Nordstrand,54,alkis
true,true,Elpersbüttel,013027013,2023-11-06,06.11.2023,11_2023,Elpersbüttel,55,alkis
true,true,Hattstedtermarsch,011527026,2023-11-06,06.11.2023,11_2023,Hattstedtermarsch,56,alkis
true,true,Hemmelsdorf,010541004,2023-11-06,06.11.2023,11_2023,Timmendorfer Strand,57,alkis
true,true,Heidmühlen,019182010,2023-11-06,06.11.2023,11_2023,"Buchholz, Forstgutsbezirk",58,alkis
true,true,Groß Wesenberg,015036001,2023-11-06,06.11.2023,11_2023,Wesenberg,59,alkis
true,true,Wittensee (See),010456001,2023-11-06,06.11.2023,11_2023,Groß Wittensee,60,alkis
true,true,Ratzeburg,017209018,2023-11-06,06.11.2023,11_2023,Ratzeburg,61,alkis
true,true,Halloher Gehege,014538002,2023-11-06,06.11.2023,11_2023,Boostedt,62,alkis
true,true,Offendorf,010574000,2023-11-06,06.11.2023,11_2023,Ratekau,63,alkis
true,true,Flensburger Förde,011222001,2023-11-06,06.11.2023,11_2023,Glücksburg (Ostsee),64,alkis
true,true,Dellstedt,013309004,2023-11-06,06.11.2023,11_2023,Dellstedt,65,alkis
true,true,Flensburger Förde,011222002,2023-11-06,06.11.2023,11_2023,Glücksburg (Ostsee),66,alkis
true,true,Wesselburenerkoog,013379004,2023-11-06,06.11.2023,11_2023,Wesselburenerkoog,67,alkis
true,true,Steenrade,010600000,2023-11-06,06.11.2023,11_2023,Scharbeutz,68,alkis
true,true,Lübbersdorf,014109001,2023-11-06,06.11.2023,11_2023,Oldenburg in Holstein,69,alkis
true,true,Ockholm,011559013,2023-11-06,06.11.2023,11_2023,Ockholm,70,alkis
true,true,Neuhof-Ruppersdorf,010569000,2023-11-06,06.11.2023,11_2023,Ratekau,71,alkis
true,true,Nordstrand,011556006,2023-11-06,06.11.2023,11_2023,Nordstrand,72,alkis
true,true,Nordermeldorf,013455002,2023-11-06,06.11.2023,11_2023,Nordermeldorf,73,alkis
true,true,Schmalenbeck,015110001,2023-11-06,06.11.2023,11_2023,Großhansdorf,74,alkis
true,true,List,015538005,2023-11-06,06.11.2023,11_2023,List auf Sylt,75,alkis
true,true,Tetenbüll,011622025,2023-11-06,06.11.2023,11_2023,Tetenbüll,76,alkis
true,true,F.-W.-Lübke-Koog,015521002,2023-11-06,06.11.2023,11_2023,Friedrich-Wilhelm-Lübke-Koog,77,alkis
true,true,Haselau,016530011,2023-11-06,06.11.2023,11_2023,Haselau,78,alkis
true,true,Trave und Dassower See,013534001,2023-11-06,06.11.2023,11_2023,"Lübeck, Hansestadt",79,alkis
true,true,List,015538004,2023-11-06,06.11.2023,11_2023,List auf Sylt,80,alkis
true,true,Sereetz,010593000,2023-11-06,06.11.2023,11_2023,Ratekau,81,alkis
true,true,Brokdorf,012021019,2023-11-06,06.11.2023,11_2023,Brokdorf,82,alkis
true,true,Nordermeldorf,013455003,2023-11-06,06.11.2023,11_2023,Nordermeldorf,83,alkis
true,true,Olpenitz,018130002,2023-11-06,06.11.2023,11_2023,Kappeln,84,alkis
true,true,Wewelsfleth,012131020,2023-11-06,06.11.2023,11_2023,Wewelsfleth,85,alkis
true,true,Barlt,013008016,2023-11-06,06.11.2023,11_2023,Barlt,86,alkis
true,true,Schafhaus,019183001,2023-11-06,06.11.2023,11_2023,"Buchholz, Forstgutsbezirk",87,alkis
true,true,Flensburger Förde,011188006,2023-11-06,06.11.2023,11_2023,Langballig,88,alkis
true,true,Schwienkuhlen,010591000,2023-11-06,06.11.2023,11_2023,Ahrensbök,89,alkis
true,true,Pagensand,016561001,2023-11-06,06.11.2023,11_2023,Seestermühe,90,alkis
true,true,Südermarsch,011586008,2023-11-06,06.11.2023,11_2023,Südermarsch,91,alkis
true,true,Nordstrand,011556009,2023-11-06,06.11.2023,11_2023,Nordstrand,92,alkis
true,true,Nebel,015503009,2023-11-06,06.11.2023,11_2023,Nebel,93,alkis
true,true,Großenwiehe,011038003,2023-11-06,06.11.2023,11_2023,Großenwiehe,94,alkis
true,true,Obernwohlde,010573000,2023-11-06,06.11.2023,11_2023,Stockelsdorf,95,alkis
true,true,Dunkelsdorf,010519000,2023-11-06,06.11.2023,11_2023,Ahrensbök,96,alkis
true,true,Eckernförde,010084003,2023-11-06,06.11.2023,11_2023,Eckernförde,97,alkis
true,true,Schlei,010374001,2023-11-06,06.11.2023,11_2023,Kosel,98,alkis
true,true,Schwartau,010590000,2023-11-06,06.11.2023,11_2023,Bad Schwartau,99,alkis
true,true,Bosbüll,015509001,2023-11-06,06.11.2023,11_2023,Bosbüll,100,alkis
true,true,Brunsbüttel,013016112,2023-11-06,06.11.2023,11_2023,Brunsbüttel,101,alkis
true,true,Halloher Gehege,014538001,2023-11-06,06.11.2023,11_2023,Boostedt,102,alkis
true,true,Südermarsch,011586007,2023-11-06,06.11.2023,11_2023,Südermarsch,103,alkis
true,true,Himmelmoor,016539001,2023-11-06,06.11.2023,11_2023,Quickborn,104,alkis
true,true,List,015538003,2023-11-06,06.11.2023,11_2023,List auf Sylt,105,alkis
true,true,Timmdorf,010606005,2023-11-06,06.11.2023,11_2023,Malente,106,alkis
